Algorithmus;Geometrie;Zeit(ms);Bilderanzahl;Abdeckungsrate
GUI_ID_QUADSEARCH;GUI_ID_ELIPSE_BUTTON;8;13;1
GUI_ID_GREEDY;GUI_ID_ELIPSE_BUTTON;383;24;1
GUI_ID_FORCE;GUI_ID_ELIPSE_BUTTON;127073;3;0.115546
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;72529;43;0.981092
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;320;23;1
GUI_ID_GRID_APPROACHES;GUI_ID_ELIPSE_BUTTON;12;17;1
GUI_ID_QUADSEARCH;GUI_ID_POINTED_TRIANGLE_BUTTON;12;8;1
GUI_ID_GREEDY;GUI_ID_POINTED_TRIANGLE_BUTTON;303;10;0.98167
GUI_ID_FORCE;GUI_ID_POINTED_TRIANGLE_BUTTON;116670;3;0.492872
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_POINTED_TRIANGLE_BUTTON;68813;34;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_POINTED_TRIANGLE_BUTTON;19683;12;0.98167
GUI_ID_GRID_APPROACHES;GUI_ID_POINTED_TRIANGLE_BUTTON;5;1;0.10387
GUI_ID_QUADSEARCH;GUI_ID_HEXAGON_BUTTON;19;11;1
GUI_ID_GREEDY;GUI_ID_HEXAGON_BUTTON;472;14;1
GUI_ID_FORCE;GUI_ID_HEXAGON_BUTTON;119287;3;0.32409
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;50751;69;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;268;15;1
GUI_ID_GRID_APPROACHES;GUI_ID_HEXAGON_BUTTON;3;15;1
GUI_ID_QUADSEARCH;GUI_ID_TRIANGLE_BUTTON;6;3;1
GUI_ID_GREEDY;GUI_ID_TRIANGLE_BUTTON;55;5;1
GUI_ID_FORCE;GUI_ID_TRIANGLE_BUTTON;113166;3;0.983696
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRIANGLE_BUTTON;99188;13;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRIANGLE_BUTTON;108;5;1
GUI_ID_GRID_APPROACHES;GUI_ID_TRIANGLE_BUTTON;4;5;1
GUI_ID_QUADSEARCH;GUI_ID_TRAPEZE_BUTTON;23;10;1
GUI_ID_GREEDY;GUI_ID_TRAPEZE_BUTTON;401;9;1
GUI_ID_FORCE;GUI_ID_TRAPEZE_BUTTON;109928;3;0.477318
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;52239;54;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;110;11;1
GUI_ID_GRID_APPROACHES;GUI_ID_TRAPEZE_BUTTON;3;11;1
GUI_ID_QUADSEARCH;GUI_ID_SQUARE_BUTTON;32;16;1
GUI_ID_GREEDY;GUI_ID_SQUARE_BUTTON;4697;21;1
GUI_ID_FORCE;GUI_ID_SQUARE_BUTTON;105714;3;0.207897
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;31094;126;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;520;24;1
GUI_ID_GRID_APPROACHES;GUI_ID_SQUARE_BUTTON;4;24;1
GUI_ID_QUADSEARCH;GUI_ID_CARDOOR_BUTTON;13;6;1
GUI_ID_GREEDY;GUI_ID_CARDOOR_BUTTON;132;7;1
GUI_ID_FORCE;GUI_ID_CARDOOR_BUTTON;113000;3;0.328125
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_CARDOOR_BUTTON;71783;34;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_CARDOOR_BUTTON;80;10;1
GUI_ID_GRID_APPROACHES;GUI_ID_CARDOOR_BUTTON;3;10;1
