Algorithmus;Geometrie;Zeit(ms);Bilderanzahl;Abdeckungsrate
GUI_ID_QUADSEARCH;GUI_ID_ELIPSE_BUTTON;6;7;1
GUI_ID_GREEDY;GUI_ID_ELIPSE_BUTTON;33;10;1
GUI_ID_FORCE;GUI_ID_ELIPSE_BUTTON;126278;3;0.263682
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;105365;17;0.995025
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;66;11;1
GUI_ID_GRID_APPROACHES;GUI_ID_ELIPSE_BUTTON;5;8;1
GUI_ID_QUADSEARCH;GUI_ID_HEXAGON_BUTTON;3;2;1
GUI_ID_GREEDY;GUI_ID_HEXAGON_BUTTON;7;2;1
GUI_ID_FORCE;GUI_ID_HEXAGON_BUTTON;125514;1;0.538012
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;102507;16;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;32;3;1
GUI_ID_GRID_APPROACHES;GUI_ID_HEXAGON_BUTTON;4;3;1
GUI_ID_QUADSEARCH;GUI_ID_TRAPEZE_BUTTON;6;3;1
GUI_ID_GREEDY;GUI_ID_TRAPEZE_BUTTON;46;4;1
GUI_ID_FORCE;GUI_ID_TRAPEZE_BUTTON;121445;2;0.715686
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;81637;22;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;51;4;1
GUI_ID_GRID_APPROACHES;GUI_ID_TRAPEZE_BUTTON;3;4;1
GUI_ID_QUADSEARCH;GUI_ID_SQUARE_BUTTON;12;4;1
GUI_ID_GREEDY;GUI_ID_SQUARE_BUTTON;230;6;1
GUI_ID_FORCE;GUI_ID_SQUARE_BUTTON;114129;2;0.480296
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;64310;35;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;51;6;1
GUI_ID_GRID_APPROACHES;GUI_ID_SQUARE_BUTTON;2;6;1
GUI_ID_QUADSEARCH;GUI_ID_CARDOOR_BUTTON;23;12;1
GUI_ID_GREEDY;GUI_ID_CARDOOR_BUTTON;864;16;1
GUI_ID_FORCE;GUI_ID_CARDOOR_BUTTON;112869;3;0.182236
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_CARDOOR_BUTTON;46225;65;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_CARDOOR_BUTTON;181;15;1
GUI_ID_GRID_APPROACHES;GUI_ID_CARDOOR_BUTTON;4;15;1
