"";"mean"
"1";0,286740347041667
"2";0,284023367791667
"3";0,379926333583333
"4";0,253137281791667
"5";0,351611519125
"6";0,370445237291667
"7";0,341398893125
"8";0,355222365083333
"9";0,355381454375
"10";0,307349566833333
"11";0,347766042
"12";0,325214947125
"13";0,298352589666667
"14";0,356542881541667
"15";0,395869396208333
"16";0,316919088291667
"17";0,290272230791667
"18";0,38665765225
"19";0,300649743541667
"20";0,328056284708333
"21";0,318830798833333
"22";0,359556147666667
"23";0,319932059875
"24";0,375835385833333
"25";0,340418681
"26";0,302873474916667
"27";0,358036868583333
"28";0,259660542708333
"29";0,389488199666667
"30";0,306834777625
"31";0,389522949791667
"32";0,373374721083333
"33";0,301689055375
"34";0,321090813125
"35";0,3441672965
"36";0,250291933416667
"37";0,302464673375
"38";0,331823788708333
"39";0,399088284416667
"40";0,377727436166667
"41";0,2794379595
"42";0,362006271125
"43";0,322916054208333
"44";0,296624329166667
"45";0,317860484458333
"46";0,34480982425
"47";0,285861847708333
"48";0,307528159666667
"49";0,3190514535
"50";0,335297165708333
"51";0,302772683041667
"52";0,257680441916667
"53";0,363759771333333
"54";0,365972471125
"55";0,346153921041667
"56";0,430395748083333
"57";0,476357839125
"58";0,308283214833333
"59";0,282713329541667
"60";0,336955678625
"61";0,327050870666667
"62";0,389340013125
"63";0,423409765041667
"64";0,350211583166667
"65";0,456674570125
"66";0,356534949666667
"67";0,326489936125
"68";0,33222957125
"69";0,329483264708333
"70";0,258245729416667
"71";0,242317221125
"72";0,297907896958333
"73";0,330434643458333
"74";0,293599309791667
"75";0,312988220666667
"76";0,303406927458333
"77";0,28225833075
"78";0,328661587833333
"79";0,29601542925
"80";0,305213286083333
"81";0,334931163083333
"82";0,331654754833333
"83";0,375747204916667
"84";0,366115223625
"85";0,2658555245
"86";0,289303443166667
"87";0,369241397791667
"88";0,336129966041667
"89";0,288718489916667
"90";0,315573231291667
"91";0,334489484208333
"92";0,369563533166667
"93";0,292726101458333
"94";0,340130093
"95";0,334574028125
"96";0,328128415583333
"97";0,392857413625
"98";0,398085535625
"99";0,361294485708333
"100";0,320955221541667
"101";0,294956486208333
"102";0,386056413916667
"103";0,357959081916667
"104";0,265685992375
"105";0,297391474833333
"106";0,427389773291667
"107";0,317978770666667
"108";0,309859887583333
"109";0,333416068333333
"110";0,338648736375
"111";0,3427778045
"112";0,293852529416667
"113";0,289604777083333
"114";0,307734785333333
"115";0,376729706291667
"116";0,35451362225
"117";0,282191901583333
"118";0,338278077625
"119";0,369211273416667
"120";0,329280135041667
"121";0,234666790208333
"122";0,361270086125
"123";0,350670989
"124";0,361262928041667
"125";0,339919135875
"126";0,327887967791667
"127";0,29525654475
"128";0,294615292166667
"129";0,367705933708333
"130";0,366377519916667
"131";0,393194268
"132";0,435581423
"133";0,334577633083333
"134";0,345810766
"135";0,278256920041667
"136";0,287493833958333
"137";0,39635426225
"138";0,35091545575
"139";0,320494851375
"140";0,356906322541667
"141";0,313000610666667
"142";0,357325620875
"143";0,361885246458333
"144";0,269237145458333
"145";0,33118075875
"146";0,334618306583333
"147";0,355023854625
"148";0,293245931916667
"149";0,288977476916667
"150";0,299798273416667
"151";0,253877433
"152";0,367427959041667
"153";0,30817314075
"154";0,355458118916667
"155";0,270641548625
"156";0,39286819275
"157";0,325157599666667
"158";0,43746717675
"159";0,334759265541667
"160";0,26605722775
"161";0,27241005525
"162";0,276481043125
"163";0,331458253083333
"164";0,301139125916667
"165";0,318531843083333
"166";0,360776952041667
"167";0,29562091325
"168";0,333307784958333
"169";0,385133654291667
"170";0,366398852791667
"171";0,294923415083333
"172";0,298231213041667
"173";0,324777815375
"174";0,424216070916667
"175";0,284597762041667
"176";0,337097270291667
"177";0,378561623666667
"178";0,308857497041667
"179";0,281715086958333
"180";0,28599909425
"181";0,262082541916667
"182";0,368062430833333
"183";0,358335389083333
"184";0,3079686885
"185";0,273369642125
"186";0,3011511705
"187";0,3206736555
"188";0,327958066625
"189";0,313014126375
"190";0,325257901041667
"191";0,394954439291667
"192";0,409531319208333
"193";0,324701492125
"194";0,454845356125
"195";0,307118027416667
"196";0,353438321583333
"197";0,305513311458333
"198";0,43511365
"199";0,285861378333333
"200";0,380068765875
"201";0,30891921625
"202";0,293231061291667
"203";0,324574947
"204";0,307010929708333
"205";0,315315723541667
"206";0,37682673125
"207";0,314736698583333
"208";0,349336995291667
"209";0,396181322583333
"210";0,374797893
"211";0,27152254175
"212";0,395241483
"213";0,313861753625
"214";0,278741672458333
"215";0,347027776916667
"216";0,352352133708333
"217";0,327784148666667
"218";0,358577536833333
"219";0,363278651375
"220";0,385188183208333
"221";0,315209632041667
"222";0,254039301958333
"223";0,347956648291667
"224";0,315236224791667
