Geometrie;QUADPOS;GREEDY;FORCE;SEQUENCE_MONTE_CARLO;ROLLOUT_MONTE_CARLO;Gridded Random
ELIPSE_1;1;1;0,423729;0,53960544;1;1
ELIPSE_2;0,83725798;0,453514739;0,115546;0,248338427;0,473232771;0,640256102
ELIPSE_3;0,171950923;0,120365646;0,105794181;0,070451075;0,109423315;0,150457058
ELIPSE_4;0,531462585;0,35430839;0,292985757;0,106292517;0,35430839;0,531462585
HEXAGON_1;0,230697279;0,147389928;0,185771;0,048371395;0,143406417;0,143406417
HEXAGON_2;0,057977737;0,045553936;0,068896684;0,009242828;0,042517007;0,042517007
HEXAGON_3;0,561181973;0,561181973;0,538012;0,070147747;0,374121315;0,374121315
HEXAGON_4;0,531462585;0,35430839;0,51711;0,101230969;0,35430839;0,08689307
POINTED_TRIANGLE_1;1;0,967807;0,390342;0,349206349;0,967807;0,10664
POINTED_TRIANGLE_2;0,531462585;0,417376701;0,492872;0,12505002;0,347813917;0,10387
SQUARE_1;0,907029478;0,604686319;0,199359;0,089216014;0,453514739;0,453514739
SQUARE_2;0,556666295;0,424126701;0,207897;0,070687783;0,371110863;0,371110863
SQUARE_3;1;1;0,480296;0,787172012;1;1
SQUARE_4;0,106738338;0,121379438;0,107724;0,015683708;0,062264031;0,062264031
TRAPEZE_1;0,195583333;0,130388889;0,190117431;0,024757384;0,122239583;0,122239583
TRAPEZE_2;0,425170068;0,472411187;0,477318;0,078735198;0,386518244;0,386518244
TRAPEZE_3;0,35430839;0,265731293;0,380360332;0,04831478;0,265731293;0,265731293
TRAPEZE_4;0,56122449;0,420918367;0,602490765;0,062358277;0,420918367;0,420918367
TRIANGLE_1;0,663265306;0,414540816;0,343874;0,083957634;0,414540816;0,414540816
TRIANGLE_2;1;1;0,983696;0,431711146;1;1
CAR_DOOR 1;0,410997732;0,308248299;0,217130924;0,068499622;0,246598639;0,246598639
CAR_DOOR 2;0,493197279;0,422740525;0,323660714;0,087034814;0,295918367;0,295918367
CAR_DOOR 3;0,616496599;0,462372449;0,182236;0,113814757;0,493197279;0,493197279
CAR_DOOR 4;0,792638484;0,528425656;0,0959849;0,137331303;0,443877551;0,528425656
