ID;Geometrie;Algorithm;Quality
1;ELIPSE_1;QUADPOS;1
2;ELIPSE_2;QUADPOS;0,83725798
3;ELIPSE_3;QUADPOS;0,171950923
4;ELIPSE_4;QUADPOS;0,531462585
5;HEXAGON_1;QUADPOS;0,230697279
6;HEXAGON_2;QUADPOS;0,057977737
7;HEXAGON_3;QUADPOS;0,561181973
8;HEXAGON_4;QUADPOS;0,531462585
9;POINTED_TRIANGLE_1;QUADPOS;1
10;POINTED_TRIANGLE_2;QUADPOS;0,531462585
11;SQUARE_1;QUADPOS;0,907029478
12;SQUARE_2;QUADPOS;0,556666295
13;SQUARE_3;QUADPOS;1
14;SQUARE_4;QUADPOS;0,106738338
15;TRAPEZE_1;QUADPOS;0,195583333
16;TRAPEZE_2;QUADPOS;0,425170068
17;TRAPEZE_3;QUADPOS;0,35430839
18;TRAPEZE_4;QUADPOS;0,56122449
19;TRIANGLE_1;QUADPOS;0,663265306
20;TRIANGLE_2;QUADPOS;1
21;CAR_DOOR 1;QUADPOS;0,410997732
22;CAR_DOOR 2;QUADPOS;0,493197279
23;CAR_DOOR 3;QUADPOS;0,616496599
24;CAR_DOOR 4;QUADPOS;0,792638484
25;ELIPSE_1;GREEDY;1
26;ELIPSE_2;GREEDY;0,453514739
27;ELIPSE_3;GREEDY;0,120365646
28;ELIPSE_4;GREEDY;0,35430839
29;HEXAGON_1;GREEDY;0,147389928
30;HEXAGON_2;GREEDY;0,045553936
31;HEXAGON_3;GREEDY;0,561181973
32;HEXAGON_4;GREEDY;0,35430839
33;POINTED_TRIANGLE_1;GREEDY;0,967807
34;POINTED_TRIANGLE_2;GREEDY;0,417376701
35;SQUARE_1;GREEDY;0,604686319
36;SQUARE_2;GREEDY;0,424126701
37;SQUARE_3;GREEDY;1
38;SQUARE_4;GREEDY;0,121379438
39;TRAPEZE_1;GREEDY;0,130388889
40;TRAPEZE_2;GREEDY;0,472411187
41;TRAPEZE_3;GREEDY;0,265731293
42;TRAPEZE_4;GREEDY;0,420918367
43;TRIANGLE_1;GREEDY;0,414540816
44;TRIANGLE_2;GREEDY;1
45;CAR_DOOR 1;GREEDY;0,308248299
46;CAR_DOOR 2;GREEDY;0,422740525
47;CAR_DOOR 3;GREEDY;0,462372449
48;CAR_DOOR 4;GREEDY;0,528425656
49;ELIPSE_1;FORCE;0,423729
50;ELIPSE_2;FORCE;0,115546
51;ELIPSE_3;FORCE;0,105794181
52;ELIPSE_4;FORCE;0,292985757
53;HEXAGON_1;FORCE;0,185771
54;HEXAGON_2;FORCE;0,068896684
55;HEXAGON_3;FORCE;0,538012
56;HEXAGON_4;FORCE;0,51711
57;POINTED_TRIANGLE_1;FORCE;0,390342
58;POINTED_TRIANGLE_2;FORCE;0,492872
59;SQUARE_1;FORCE;0,199359
