Algorithmus;Geometrie;Zeit(ms);Bilderanzahl;Abdeckungsrate
GUI_ID_QUADSEARCH;Elipse 1;6;5;1
GUI_ID_GREEDY;Elipse 1;11;4;1
GUI_ID_FORCE;Elipse 1;121198;3;0.423729
GUI_ID_SEQUENCE_MONTE_CARLO;Elipse 1;111134;10;0.991525
GUI_ID_ROLLOUT_MONTE_CARLO;Elipse 1;28;5;1
GUI_ID_GRID_APPROACHES;Elipse 1;3;5;1
GUI_ID_QUADSEARCH;Isosceles triangle 1;10;9;1
GUI_ID_GREEDY;Isosceles triangle 1;398;12;0.967807
GUI_ID_FORCE;Isosceles triangle 1;111218;3;0.390342
GUI_ID_SEQUENCE_MONTE_CARLO;Isosceles triangle 1;62690;45;1
GUI_ID_ROLLOUT_MONTE_CARLO;Isosceles triangle 1;20332;14;0.967807
GUI_ID_GRID_APPROACHES;Isosceles triangle 1;3;1;0.10664
GUI_ID_QUADSEARCH;Hexagon 1;57;23;1
GUI_ID_GREEDY;Hexagon 1;6593;36;1
GUI_ID_FORCE;Hexagon 1;115698;3;0.185771
GUI_ID_SEQUENCE_MONTE_CARLO;Hexagon 1;46530;109;0.993676
GUI_ID_ROLLOUT_MONTE_CARLO;Hexagon 1;1303;37;1
GUI_ID_GRID_APPROACHES;Hexagon 1;3;37;1
GUI_ID_QUADSEARCH;Isosceles triangle 2;46;10;1
GUI_ID_GREEDY;Isosceles triangle 2;1992;16;1
GUI_ID_FORCE;Isosceles triangle 2;112016;3;0.343874
GUI_ID_SEQUENCE_MONTE_CARLO;Isosceles triangle 2;46036;79;1
GUI_ID_ROLLOUT_MONTE_CARLO;Isosceles triangle 2;294;16;1
GUI_ID_GRID_APPROACHES;Isosceles triangle 2;3;16;1
GUI_ID_QUADSEARCH;Trapeze 1;28;10;1
GUI_ID_GREEDY;Trapeze 1;1334;15;1
GUI_ID_FORCE;Trapeze 1;112643;3;0.291616
GUI_ID_SEQUENCE_MONTE_CARLO;Trapeze 1;39642;79;1
GUI_ID_ROLLOUT_MONTE_CARLO;Trapeze 1;248;16;1
GUI_ID_GRID_APPROACHES;Trapeze 1;2;16;1
GUI_ID_QUADSEARCH;Square 1;26;12;1
GUI_ID_GREEDY;Square 1;3619;18;1
GUI_ID_FORCE;Square 1;107064;3;0.199359
GUI_ID_SEQUENCE_MONTE_CARLO;Square 1;44264;122;1
GUI_ID_ROLLOUT_MONTE_CARLO;Square 1;809;24;1
GUI_ID_GRID_APPROACHES;Square 1;3;24;1
GUI_ID_QUADSEARCH;Car Door 1;5;3;1
GUI_ID_GREEDY;Car Door 1;34;4;1
GUI_ID_FORCE;Car Door 1;121265;3;0.528302
GUI_ID_SEQUENCE_MONTE_CARLO;Car Door 1;96094;18;1
GUI_ID_ROLLOUT_MONTE_CARLO;Car Door 1;52;5;1
GUI_ID_GRID_APPROACHES;Car Door 1;2;5;1
GUI_ID_QUADSEARCH;Elipse 2;8;13;1
GUI_ID_GREEDY;Elipse 2;383;24;1
GUI_ID_FORCE;Elipse 2;127073;3;0.115546
GUI_ID_SEQUENCE_MONTE_CARLO;Elipse 2;72529;43;0.981092
GUI_ID_ROLLOUT_MONTE_CARLO;Elipse 2;320;23;1
GUI_ID_GRID_APPROACHES;Elipse 2;12;17;1
GUI_ID_QUADSEARCH;Isosceles triangle 3;12;8;1
GUI_ID_GREEDY;Isosceles triangle 3;303;10;0.98167
GUI_ID_FORCE;Isosceles triangle 3;116670;3;0.492872
GUI_ID_SEQUENCE_MONTE_CARLO;Isosceles triangle 3;68813;34;1
GUI_ID_ROLLOUT_MONTE_CARLO;Isosceles triangle 3;19683;12;0.98167
GUI_ID_GRID_APPROACHES;Isosceles triangle 3;5;1;0.10387
GUI_ID_QUADSEARCH;Hexagon 2;19;11;1
GUI_ID_GREEDY;Hexagon 2;472;14;1
GUI_ID_FORCE;Hexagon 2;119287;3;0.32409
GUI_ID_SEQUENCE_MONTE_CARLO;Hexagon 2;50751;69;1
GUI_ID_ROLLOUT_MONTE_CARLO;Hexagon 2;268;15;1
GUI_ID_GRID_APPROACHES;Hexagon 2;3;15;1
GUI_ID_QUADSEARCH;Isosceles triangle 4;6;3;1
GUI_ID_GREEDY;Isosceles triangle 4;55;5;1
GUI_ID_FORCE;Isosceles triangle 4;113166;3;0.983696
GUI_ID_SEQUENCE_MONTE_CARLO;Isosceles triangle 4;99188;13;1
GUI_ID_ROLLOUT_MONTE_CARLO;Isosceles triangle 4;108;5;1
GUI_ID_GRID_APPROACHES;Isosceles triangle 4;4;5;1
GUI_ID_QUADSEARCH;Trapeze 2;23;10;1
GUI_ID_GREEDY;Trapeze 2;401;9;1
GUI_ID_FORCE;Trapeze 2;109928;3;0.477318
GUI_ID_SEQUENCE_MONTE_CARLO;Trapeze 2;52239;54;1
GUI_ID_ROLLOUT_MONTE_CARLO;Trapeze 2;110;11;1
GUI_ID_GRID_APPROACHES;Trapeze 2;3;11;1
GUI_ID_QUADSEARCH;Square 2;32;16;1
GUI_ID_GREEDY;Square 2;4697;21;1
GUI_ID_FORCE;Square 2;105714;3;0.207897
GUI_ID_SEQUENCE_MONTE_CARLO;Square 2;31094;126;1
GUI_ID_ROLLOUT_MONTE_CARLO;Square 2;520;24;1
GUI_ID_GRID_APPROACHES;Square 2;4;24;1
GUI_ID_QUADSEARCH;Car Door 2;13;6;1
GUI_ID_GREEDY;Car Door 2;132;7;1
GUI_ID_FORCE;Car Door 2;113000;3;0.328125
GUI_ID_SEQUENCE_MONTE_CARLO;Car Door 2;71783;34;1
GUI_ID_ROLLOUT_MONTE_CARLO;Car Door 2;80;10;1
GUI_ID_GRID_APPROACHES;Car Door 2;3;10;1
