Geometrie;QuadPos;Greedy;FORCE;SEQUENCE_MONTE_CARLO;Rollout Monte-Carlo;Gridded Random;Flaeche
ELIPSE_1;6;11;121198;111134;28;3;23
ELIPSE_2;8;383;127073;72529;320;12;104,74
ELIPSE_3;6;33;126278;105365;66;5;14,16
ELIPSE_4;2;6;129854;98654;8;3;43,93
HEXAGON_1;57;6593;115698;46530;1303;3;184,8
HEXAGON_2;19;472;119287;50751;268;3;66
HEXAGON_3;3;7;125514;102507;32;4;13,2
HEXAGON_4;6;99;103823;83993;70;4;19,8
POINTED_TRIANGLE_1;10;398;111218;62690;20332;3;64
POINTED_TRIANGLE_2;19;303;116670;68813;19683;5;62,4
SQUARE_1;26;3619;107064;44264;809;3;128
SQUARE_2;32;4697;105714;31094;520;4;128
SQUARE_3;12;230;114129;64310;51;2;25
SQUARE_4;132;19870;92300;33565;2818;3;324
TRAPEZE_1;28;1334;112643;39642;248;2;78
TRAPEZE_2;23;401;109928;52239;110;3;50
TRAPEZE_3;6;46;121445;81637;51;3;12,5
TRAPEZE_4;3;25;103874;78910;39;2;25
TRIANGLE_1;46;1992;112016;46036;294;3;62,4
TRIANGLE_2;6;55;113166;99188;108;4;7,5
CAR_DOOR 1;5;34;121265;96094;52;2;
CAR_DOOR 2;13;132;113000;71783;80;3;
CAR_DOOR 3;23;864;112869;46225;181;4;
CAR_DOOR 4;88;11169;94277;32940;2384;80;
